# Bundled climate for the Vintage Story Farming Dashboard
# 108-day game year (16 months x 9 days/month)
# Subarctic boreal continental, latitude 0.557 N, rainfall ~0
# Source: /debug exptempplot from the live server
#
# Replace this file in dist/ to change the default climate.
# Users can also upload their own CSV via the Settings tab.
day,avg,min,max
1,-17.01,-25.48,-8.45
2,-18.17,-27.55,-8.88
3,-17.34,-26.97,-7.68
4,-18.42,-27.95,-8.92
5,-17.73,-26.58,-9.53
6,-17.81,-26.74,-9.06
7,-18.18,-27.61,-8.63
8,-17.15,-26.21,-7.77
9,-17.4,-26.57,-8.35
10,-17.41,-26.24,-8.62
11,-18.0,-26.84,-9.5
12,-17.13,-26.18,-7.61
13,-16.93,-26.06,-7.78
14,-17.18,-26.16,-7.74
15,-17.05,-25.99,-7.62
16,-15.86,-24.91,-6.13
17,-15.81,-25.05,-6.43
18,-15.92,-24.91,-5.18
19,-14.44,-23.53,-5.5
20,-13.64,-22.79,-3.92
21,-12.69,-21.91,-3.13
22,-11.6,-20.74,-2.42
23,-10.65,-19.66,-1.27
24,-10.7,-20.16,-1.16
25,-9.86,-19.45,0.07
26,-9.43,-18.55,0.62
27,-7.74,-17.07,2.24
28,-6.59,-15.42,2.01
29,-4.71,-13.42,4.18
30,-2.78,-11.78,5.92
31,-1.85,-10.66,7.63
32,-1.76,-10.85,7.97
33,-0.06,-9.4,9.55
34,1.45,-7.66,10.92
35,3.0,-6.21,12.11
36,3.16,-5.97,12.39
37,4.97,-4.62,14.49
38,6.46,-2.95,15.83
39,7.69,-1.46,16.87
40,8.42,-0.78,17.43
41,9.41,0.43,18.28
42,9.73,0.6,18.79
43,9.06,-0.27,18.34
44,9.34,0.39,18.5
45,9.84,1.07,19.9
46,12.07,2.62,21.28
47,12.79,3.13,22.4
48,13.07,3.34,22.62
49,13.13,3.62,23.04
50,13.81,4.34,23.49
51,14.27,4.74,23.78
52,14.34,4.59,23.99
53,14.59,5.04,23.92
54,14.42,4.74,23.85
55,14.94,6.53,24.07
56,14.45,5.78,24.27
57,14.13,5.39,23.84
58,14.99,5.81,24.43
59,15.04,5.88,24.64
60,14.65,5.12,23.96
61,15.06,5.86,24.27
62,15.25,6.0,24.61
63,15.18,5.79,24.39
64,15.19,6.43,23.97
65,14.43,4.94,23.86
66,14.07,4.78,23.49
67,13.43,3.84,22.96
68,13.45,4.05,22.97
69,12.48,3.0,22.04
70,11.96,2.55,21.31
71,11.4,2.18,20.92
72,11.43,2.55,20.78
73,10.83,1.96,20.35
74,9.55,0.5,18.86
75,8.0,-1.13,17.51
76,7.42,-1.43,17.27
77,6.0,-2.99,15.66
78,4.69,-4.36,14.62
79,3.5,-5.5,13.34
80,2.59,-6.2,12.16
81,2.69,-6.06,11.6
82,1.86,-7.62,11.27
83,0.49,-8.6,9.61
84,-1.06,-9.92,8.36
85,-2.08,-11.13,7.21
86,-3.29,-12.31,5.52
87,-4.69,-13.5,4.05
88,-6.31,-15.42,2.49
89,-6.62,-15.65,2.0
90,-7.85,-16.52,0.74
91,-9.5,-17.32,-1.18
92,-10.62,-19.07,-1.97
93,-11.65,-20.04,-2.93
94,-12.59,-21.4,-3.93
95,-13.16,-21.94,-4.92
96,-13.99,-22.86,-5.91
97,-14.48,-23.6,-6.62
98,-14.89,-23.76,-6.65
99,-15.27,-24.99,-7.27
100,-17.36,-26.55,-8.78
101,-18.31,-28.34,-9.59
102,-18.96,-28.87,-9.97
103,-19.06,-28.91,-10.4
104,-19.78,-29.55,-10.94
105,-19.54,-29.62,-10.59
106,-20.05,-29.93,-10.81
107,-19.24,-29.16,-9.57
108,-19.92,-29.92,-10.4
