# Bundled climate for the Vintage Story Farming Dashboard
# Synthesized from the user's /debug exptempplot CSV + Environment HUD readings.
#   Server daysPerMonth: 20  (year = 240 days, 12 months)
#   WorldGenTemperature: 4.9°C
#   Rainfall: 89%  (drives diurnal amplitude)
#   Hemisphere: North
#   Latitude: 0.59 N  (fit from real seasonal amplitude in CSV)
# Generated using Temperature.cs deterministic model. Real game adds
# ±3°C yearly noise + ±1°C daily noise on top of these values.
#
day,avg,min,max
1,-14.11,-17.30,-10.90
2,-14.15,-17.35,-10.94
3,-14.19,-17.39,-10.98
4,-14.22,-17.43,-11.01
5,-14.24,-17.45,-11.03
6,-14.26,-17.47,-11.04
7,-14.27,-17.48,-11.05
8,-14.27,-17.49,-11.06
9,-14.27,-17.49,-11.06
10,-14.27,-17.49,-11.06
11,-14.27,-17.49,-11.06
12,-14.27,-17.49,-11.06
13,-14.27,-17.49,-11.06
14,-14.27,-17.48,-11.05
15,-14.26,-17.47,-11.04
16,-14.24,-17.46,-11.02
17,-14.22,-17.44,-11.00
18,-14.19,-17.42,-10.97
19,-14.15,-17.38,-10.93
20,-14.11,-17.34,-10.88
21,-14.05,-17.29,-10.83
22,-13.99,-17.22,-10.76
23,-13.91,-17.15,-10.68
24,-13.82,-17.06,-10.59
25,-13.72,-16.97,-10.48
26,-13.60,-16.86,-10.36
27,-13.47,-16.73,-10.23
28,-13.33,-16.59,-10.09
29,-13.18,-16.44,-9.93
30,-13.01,-16.28,-9.76
31,-12.82,-16.10,-9.57
32,-12.62,-15.90,-9.37
33,-12.41,-15.69,-9.15
34,-12.18,-15.47,-8.92
35,-11.93,-15.23,-8.67
36,-11.67,-14.97,-8.41
37,-11.40,-14.70,-8.13
38,-11.11,-14.41,-7.84
39,-10.80,-14.11,-7.53
40,-10.48,-13.80,-7.20
41,-10.14,-13.46,-6.86
42,-9.79,-13.12,-6.51
43,-9.42,-12.76,-6.14
44,-9.04,-12.38,-5.76
45,-8.65,-11.99,-5.36
46,-8.24,-11.58,-4.95
47,-7.82,-11.17,-4.52
48,-7.38,-10.73,-4.08
49,-6.93,-10.29,-3.63
50,-6.47,-9.83,-3.17
51,-6.00,-9.36,-2.69
52,-5.51,-8.88,-2.21
53,-5.02,-8.39,-1.71
54,-4.51,-7.89,-1.20
55,-3.99,-7.37,-0.68
56,-3.47,-6.85,-0.15
57,-2.93,-6.32,0.38
58,-2.39,-5.77,0.93
59,-1.84,-5.22,1.48
60,-1.28,-4.67,2.04
61,-0.71,-4.10,2.61
62,-0.14,-3.53,3.19
63,0.44,-2.96,3.76
64,1.02,-2.37,4.35
